CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,MD,NN,NNP,NNS,PDT,PRP,PRP$,RB,RBR,RBS,RP,TO,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB,Author
0.047619047619047616,0.00496031746031746,0.10714285714285714,0.0,0.0,0.13690476190476192,0.08531746031746032,0.003968253968253968,0.002976190476190476,0.002976190476190476,0.19345238095238096,0.00496031746031746,0.05654761904761905,0.0,0.05853174603174603,0.051587301587301584,0.022817460317460316,0.003968253968253968,0.000992063492063492,0.003968253968253968,0.01984126984126984,0.022817460317460316,0.09027777777777778,0.008928571428571428,0.037698412698412696,0.010912698412698412,0.010912698412698412,0.00496031746031746,0.000992063492063492,0.0,0.003968253968253968,ms
0.045454545454545456,0.0038684719535783366,0.08027079303675048,0.0,0.0019342359767891683,0.12379110251450677,0.06963249516441006,0.0019342359767891683,0.0019342359767891683,0.005802707930367505,0.2253384912959381,0.01160541586073501,0.039651837524177946,0.0009671179883945841,0.05705996131528046,0.059961315280464215,0.03481624758220503,0.0,0.0009671179883945841,0.0038684719535783366,0.02611218568665377,0.030947775628626693,0.0851063829787234,0.006769825918762089,0.04642166344294004,0.01160541586073501,0.012572533849129593,0.0038684719535783366,0.0019342359767891683,0.0038684719535783366,0.0019342359767891683,ms
0.04466019417475728,0.002912621359223301,0.11844660194174757,0.000970873786407767,0.000970873786407767,0.11650485436893204,0.07864077669902912,0.000970873786407767,0.000970873786407767,0.0048543689320388345,0.20485436893203884,0.010679611650485437,0.039805825242718446,0.000970873786407767,0.04854368932038835,0.04466019417475728,0.04660194174757282,0.001941747572815534,0.000970873786407767,0.000970873786407767,0.031067961165048542,0.039805825242718446,0.09611650485436893,0.015533980582524271,0.027184466019417475,0.006796116504854369,0.0048543689320388345,0.0048543689320388345,0.0,0.0,0.003883495145631068,ms
0.03475670307845084,0.006951340615690168,0.11320754716981132,0.0,0.0,0.1499503475670308,0.06554121151936444,0.0029791459781529296,0.0019860973187686196,0.00893743793445879,0.211519364448858,0.0019860973187686196,0.04865938430983118,0.0019860973187686196,0.05263157894736842,0.041708043694141016,0.05263157894736842,0.0009930486593843098,0.0,0.0029791459781529296,0.021847070506454815,0.023833167825223437,0.07348560079443893,0.012909632571996028,0.041708043694141016,0.010923535253227408,0.003972194637537239,0.007944389275074478,0.0009930486593843098,0.0009930486593843098,0.0019860973187686196,ms
0.04671968190854871,0.007952286282306162,0.11232604373757456,0.0009940357852882703,0.0,0.14910536779324055,0.09542743538767395,0.0019880715705765406,0.003976143141153081,0.003976143141153081,0.1908548707753479,0.0019880715705765406,0.07157057654075547,0.0009940357852882703,0.042743538767395624,0.04473161033797217,0.03876739562624255,0.004970178926441352,0.0019880715705765406,0.0019880715705765406,0.020874751491053677,0.017892644135188866,0.05765407554671968,0.013916500994035786,0.03876739562624255,0.006958250497017893,0.010934393638170975,0.003976143141153081,0.002982107355864811,0.0,0.002982107355864811,ms
0.03543307086614173,0.006889763779527559,0.10433070866141732,0.0,0.0,0.12992125984251968,0.06791338582677166,0.000984251968503937,0.001968503937007874,0.004921259842519685,0.18208661417322836,0.004921259842519685,0.06299212598425197,0.0,0.0718503937007874,0.04625984251968504,0.03346456692913386,0.002952755905511811,0.0,0.008858267716535433,0.03641732283464567,0.0344488188976378,0.08267716535433071,0.022637795275590553,0.025590551181102362,0.00984251968503937,0.004921259842519685,0.006889763779527559,0.002952755905511811,0.0,0.007874015748031496,ms
0.03238095238095238,0.008571428571428572,0.11142857142857143,0.0,0.0,0.13333333333333333,0.06285714285714286,0.0009523809523809524,0.0009523809523809524,0.011428571428571429,0.19904761904761906,0.021904761904761906,0.05333333333333334,0.002857142857142857,0.05047619047619047,0.040952380952380955,0.04380952380952381,0.0009523809523809524,0.0009523809523809524,0.004761904761904762,0.02,0.03428571428571429,0.08095238095238096,0.02095238095238095,0.024761904761904763,0.01904761904761905,0.009523809523809525,0.0038095238095238095,0.002857142857142857,0.0009523809523809524,0.0019047619047619048,ms
0.03781094527363184,0.001990049751243781,0.10746268656716418,0.0009950248756218905,0.0009950248756218905,0.1263681592039801,0.08059701492537313,0.0009950248756218905,0.0009950248756218905,0.006965174129353234,0.191044776119403,0.004975124378109453,0.042786069651741296,0.0,0.05572139303482587,0.05970149253731343,0.04875621890547264,0.001990049751243781,0.0,0.004975124378109453,0.026865671641791045,0.026865671641791045,0.10049751243781095,0.01890547263681592,0.027860696517412936,0.005970149253731343,0.004975124378109453,0.004975124378109453,0.0009950248756218905,0.001990049751243781,0.004975124378109453,ms
0.05058365758754864,0.006809338521400778,0.08463035019455253,0.0009727626459143969,0.0,0.11284046692607004,0.08754863813229571,0.0038910505836575876,0.0,0.01848249027237354,0.17607003891050585,0.009727626459143969,0.03501945525291829,0.0019455252918287938,0.0622568093385214,0.042801556420233464,0.07003891050583658,0.0009727626459143969,0.0,0.0009727626459143969,0.03501945525291829,0.05252918287937743,0.06809338521400778,0.013618677042801557,0.026264591439688716,0.014591439688715954,0.007782101167315175,0.007782101167315175,0.0019455252918287938,0.0009727626459143969,0.005836575875486381,ms
0.04928909952606635,0.0037914691943127963,0.07867298578199051,0.0,0.0009478672985781991,0.10710900473933649,0.08151658767772511,0.0,0.007582938388625593,0.01800947867298578,0.1943127962085308,0.01990521327014218,0.037914691943127965,0.0,0.06635071090047394,0.04928909952606635,0.046445497630331754,0.0009478672985781991,0.0009478672985781991,0.0009478672985781991,0.024644549763033177,0.04075829383886256,0.06729857819905213,0.01042654028436019,0.021800947867298578,0.03317535545023697,0.018957345971563982,0.002843601895734597,0.004739336492890996,0.0,0.01042654028436019,ms
0.04866412213740458,0.003816793893129771,0.09255725190839695,0.0009541984732824427,0.0009541984732824427,0.10687022900763359,0.07538167938931298,0.0009541984732824427,0.0,0.019083969465648856,0.20515267175572519,0.016221374045801526,0.02862595419847328,0.003816793893129771,0.04866412213740458,0.04007633587786259,0.05343511450381679,0.004770992366412214,0.0019083969465648854,0.0009541984732824427,0.02862595419847328,0.05343511450381679,0.06393129770992366,0.02099236641221374,0.029580152671755726,0.015267175572519083,0.01717557251908397,0.004770992366412214,0.007633587786259542,0.0019083969465648854,0.003816793893129771,ms
0.0475266731328807,0.004849660523763337,0.11833171677982542,0.0009699321047526673,0.0009699321047526673,0.12318137730358875,0.07468477206595538,0.0,0.0009699321047526673,0.01066925315227934,0.19204655674102813,0.011639185257032008,0.03976721629485936,0.0009699321047526673,0.061105722599418044,0.030067895247332686,0.05722599418040737,0.0009699321047526673,0.0,0.0038797284190106693,0.02133850630455868,0.028128031037827354,0.1008729388942774,0.015518913676042677,0.02424830261881668,0.012609117361784675,0.005819592628516004,0.005819592628516004,0.002909796314258002,0.0009699321047526673,0.0019398642095053346,ms
0.05133267522211254,0.0029615004935834156,0.09081934846989141,0.0,0.0029615004935834156,0.1125370187561698,0.06712734452122408,0.0019743336623889436,0.0009871668311944718,0.01085883514313919,0.18065153010858837,0.004935834155972359,0.040473840078973346,0.0,0.0631786771964462,0.05330700888450148,0.05133267522211254,0.0,0.0,0.0029615004935834156,0.02665350444225074,0.03060217176702863,0.10661401776900296,0.022704837117472853,0.03751233958538993,0.003948667324777887,0.009871668311944718,0.008884501480750246,0.009871668311944718,0.0,0.004935834155972359,ms
0.03804878048780488,0.004878048780487805,0.12682926829268293,0.000975609756097561,0.001951219512195122,0.13658536585365855,0.10341463414634146,0.002926829268292683,0.000975609756097561,0.012682926829268294,0.22439024390243903,0.006829268292682927,0.04975609756097561,0.0,0.025365853658536587,0.026341463414634145,0.0351219512195122,0.005853658536585366,0.0,0.002926829268292683,0.02048780487804878,0.026341463414634145,0.03219512195121951,0.018536585365853658,0.023414634146341463,0.01951219512195122,0.02829268292682927,0.014634146341463415,0.003902439024390244,0.000975609756097561,0.005853658536585366,ms
0.03018500486854917,0.004868549172346641,0.08860759493670886,0.004868549172346641,0.0,0.11684518013631938,0.0730282375851996,0.004868549172346641,0.0029211295034079843,0.018500486854917234,0.2103213242453749,0.006815968841285297,0.03894839337877313,0.0,0.05744888023369036,0.05063291139240506,0.04089581304771178,0.0019474196689386564,0.0,0.0038948393378773127,0.04186952288218111,0.04965920155793573,0.08471275559883155,0.012658227848101266,0.028237585199610515,0.011684518013631937,0.0029211295034079843,0.005842259006815969,0.0029211295034079843,0.0009737098344693282,0.0029211295034079843,ms
0.04334975369458128,0.002955665024630542,0.08374384236453201,0.002955665024630542,0.0,0.11724137931034483,0.11428571428571428,0.0,0.0019704433497536944,0.0019704433497536944,0.19113300492610838,0.002955665024630542,0.05714285714285714,0.0,0.04729064039408867,0.05024630541871921,0.052216748768472904,0.0,0.0019704433497536944,0.005911330049261084,0.03251231527093596,0.030541871921182268,0.08078817733990148,0.013793103448275862,0.02561576354679803,0.0187192118226601,0.007881773399014778,0.006896551724137931,0.0019704433497536944,0.0009852216748768472,0.002955665024630542,ms
0.028901734104046242,0.005780346820809248,0.08670520231213873,0.0009633911368015414,0.0,0.128131021194605,0.08766859344894026,0.0019267822736030828,0.0009633911368015414,0.016377649325626204,0.1791907514450867,0.008670520231213872,0.030828516377649325,0.0009633911368015414,0.07514450867052024,0.041425818882466284,0.05876685934489403,0.0009633911368015414,0.0,0.0038535645472061657,0.028901734104046242,0.05009633911368015,0.07321772639691715,0.01348747591522158,0.031791907514450865,0.027938342967244702,0.005780346820809248,0.005780346820809248,0.002890173410404624,0.0,0.002890173410404624,ms
